Source,Target,Weight
FREY_DAUGHTER,ROBB,2
GENDRY,NED,2
GILLY,GRENN,2
HARREN,TYWIN,2
HAYLENE,PODRICK,2
HIGH_SEPTON,MYRCELLA,2
HOT_PIE,POLLIVER,2
HOT_PIE,TICKLER,2
HOUND,NED,2
HOUND,STANNIS,2
HOUND,TOMMEN,2
ILYN_PAYNE,LANCEL,2
ILYN_PAYNE,TOMMEN,2
IRRI,JORAH,2
JACKS,JAIME,2
JAIME,JON,2
JAIME,LITTLEFINGER,2
JANOS,PYCELLE,2
JAQEN,YOREN,2
JEOR,TYRION,2
JOFFREY,MATTHOS,2
JOFFREY,RENLY,2
JOFFREY,SHAE,2
JON_ARRYN,PYCELLE,2
JON_ARRYN,ROBERT,2
JORAH,MALAKKO,2
KEVAN,STANNIS,2
KOVARRO,SPICE_KING,2
LANCEL,SHAE,2
LANCEL,TOMMEN,2
LITTLEFINGER,MYRCELLA,2
LORAS,MELISANDRE,2
LORAS,ROBB,2
LORAS,TOMMEN,2
LYSA,TYRION,2
MARGAERY,STANNIS,2
MARGAERY,TYWIN,2
MATTHOS,ROBERT,2
MELESSA,SAM,2
MERYN_TRANT,TOMMEN,2
MHAEGEN,ROS,2
MYRCELLA,ROBERT,2
MYRCELLA,TRYSTANE,2
NED,RODRIK,2
NED,SANSA,2
NED,TYWIN,2
OSHA,ROBB,2
POLLIVER,TYWIN,2
PROTESTER,TYRION,2
QUAITHE,XARO,2
RAMSAY,ROOSE_BOLTON,2
RANDYLL,SAM,2
RENNICK,ROBB,2
RHAENYS,VISENYA,2
RICKARD_KARSTARK,ROOSE_BOLTON,2
RICKARD_KARSTARK,TALISA,2
RICKON,RODRIK,2
ROBERT,THEON,2
ROBERT,TOMMEN,2
SEPTON,TALISA,2
SHAE,TYWIN,2
SILK_KING,SPICE_KING,2
TALISA,TORRHEN,2
THEON,TORRHEN,2
THEON,TYRION,2
TRYSTANE,TYRION,2
JON,YGRITTE,159
BRIENNE,JAIME,127
TYRION,TYWIN,115
RAMSAY,THEON,114
CERSEI,TYRION,95
GILLY,SAM,95
ROBB,TALISA,89
SANSA,TYRION,85
ARYA,HOUND,79
DAVOS,STANNIS,77
SHAE,TYRION,75
BRONN,TYRION,71
DAENERYS,JORAH,69
BRAN,OSHA,68
DAENERYS,MISSANDEI,67
BRAN,JOJEN,65
JOFFREY,MARGAERY,64
ARYA,THOROS,63
MARGAERY,SANSA,63
JAIME,LOCKE,59
BARRISTAN,JORAH,57
CERSEI,TYWIN,57
CERSEI,JOFFREY,54
CATELYN,ROBB,52
KRAZNYS_MO_NAKLOZ,MISSANDEI,52
JAIME,QYBURN,51
DAVOS,GENDRY,50
JOFFREY,TYWIN,49
MELISANDRE,STANNIS,49
EDMURE,ROBB,46
GENDRY,MELISANDRE,46
ARYA,GENDRY,45
SANSA,SHAE,45
BRAN,HODOR,39
DAVOS,SHIREEN,38
OLENNA,VARYS,38
RICKARD_KARSTARK,ROBB,38
BARRISTAN,DAENERYS,37
JON,ORELL,37
DAARIO,DAENERYS,36
JON,MANCE,36
LITTLEFINGER,SANSA,36
PODRICK,TYRION,36
OLENNA,TYWIN,35
JON,TORMUND,34
MEERA,OSHA,34
ARYA,BERIC,33
CATELYN,TALISA,33
CERSEI,MARGAERY,33
DAVOS,MELISANDRE,33
ORELL,YGRITTE,32
LORAS,SANSA,31
OLENNA,TYRION,31
OLENNA,SANSA,30
ORELL,TORMUND,30
BRAN,MEERA,29
JAIME,ROOSE_BOLTON,29
TORMUND,YGRITTE,29
BERIC,THOROS,28
DAVOS,SALLADHOR,28
JOJEN,OSHA,28
LITTLEFINGER,TYRION,28
ROBB,WALDER,28
BRYNDEN,CATELYN,27
JOFFREY,TYRION,27
ANGUY,ARYA,26
BRAN,RICKON,26
BERIC,HOUND,25
ROS,VARYS,25
CERSEI,OLENNA,24
JOJEN,MEERA,24
TYRION,VARYS,24
DAENERYS,KRAZNYS_MO_NAKLOZ,23
HODOR,JOJEN,23
ROOSE_BOLTON,WALDER,23
JOFFREY,SANSA,22
MYRANDA,VIOLET,22
SHAE,VARYS,22
LORAS,MARGAERY,21
MARGAERY,OLENNA,21
SELYSE,STANNIS,21
ANGUY,HOUND,20
ANGUY,THOROS,20
BRONN,PODRICK,20
GENDRY,THOROS,20
CATELYN,WALDER,19
DAENERYS,RADZAI_MO_ERAZ,19
JEOR,RAST,19
THEON,TORTURER,19
BRYNDEN,EDMURE,18
BRAN,SAM,17
BRYNDEN,ROBB,17
CRASTER,JEOR,17
DAARIO,JORAH,17
DAARIO,MERO,17
GRENN,RAST,17
HOUND,THOROS,17
ROBB,ROOSE_BOLTON,17
CERSEI,LITTLEFINGER,16
DAENERYS,MERO,16
LITTLEFINGER,VARYS,16
OSHA,RICKON,16
SHIREEN,STANNIS,16
ARYA,HOT_PIE,15
BRIENNE,LOCKE,15
CATELYN,EDMURE,15
CERSEI,LORAS,15
BRAN,CATELYN,14
HODOR,MEERA,14
HODOR,OSHA,14
JAIME,STEELSHANKS_WALTON,14
MANCE,TORMUND,14
MELISANDRE,THOROS,14
CATELYN,ROOSE_BOLTON,13
CRASTER,KARL_TANNER,13
JORAH,MISSANDEI,13
MEERA,RICKON,13
MERO,PRENDAHL,13
RAST,SAM,13
BALON,THEON,12
DAENERYS,GREY_WORM,12
EDDISON_TOLLETT,GRENN,12
EDMURE,ROSLIN,12
GREY_WORM,JORAH,12
JOJEN,SAM,12
MARTYN,TALISA,12
MYRANDA,THEON,12
ROS,SHAE,12
THEON,VIOLET,12
ANGUY,BERIC,11
ANGUY,GENDRY,11
BALON,YARA,11
EDDISON_TOLLETT,RAST,11
JAIME,TYWIN,11
LORAS,OLYVAR,11
SANSA,TYWIN,11
CERSEI,JAIME,10
CERSEI,MERYN_TRANT,10
EDMURE,WALDER,10
GILLY,MAESTER_AEMON,10
JEOR,SAM,10
LOCKE,ROOSE_BOLTON,10
LORAS,OLENNA,10
LORAS,TYRION,10
MAESTER_AEMON,SAM,10
MANCE,ORELL,10
MANCE,YGRITTE,10
MERYN_TRANT,TYRION,10
TALISA,WALDER,10
TYWIN,VARYS,10
BRIENNE,ROOSE_BOLTON,9
GENDRY,HOT_PIE,9
GENDRY,STANNIS,9
GRENN,SAM,9
HODOR,RICKON,9
JOJEN,RICKON,9
LITTLE_SAM,GILLY,9
LITTLE_SAM,SAM,9
LORAS,TYWIN,9
PYCELLE,TYRION,9
ROBB,TYWIN,9
ROOSE_BOLTON,TYWIN,9
BLACK_WALDER,ROBB,8
BRAN,JON,8
BRONN,MERYN_TRANT,8
BRYNDEN,ROOSE_BOLTON,8
BRYNDEN,TALISA,8
CATELYN,JAIME,8
CRASTER,RAST,8
DAENERYS,PRENDAHL,8
EDDISON_TOLLETT,SAM,8
EDMURE,TALISA,8
FARMER,JON,8
GILLY,MEERA,8
HODOR,SAM,8
JEOR,KARL_TANNER,8
JOFFREY,LORAS,8
JOFFREY,OLENNA,8
JON,SAM,8
MEERA,SAM,8
MERYN_TRANT,TARYN_MANT,8
ROSLIN,WALDER,8
BARRISTAN,MISSANDEI,7
BERIC,GENDRY,7
CATELYN,HOSTER,7
CERSEI,PYCELLE,7
CERSEI,SANSA,7
DAARIO,MISSANDEI,7
DAARIO,PRENDAHL,7
EDMURE,LOTHAR,7
FARMER,TORMUND,7
GRENN,JEOR,7
PYCELLE,TYWIN,7
ROOSE_BOLTON,TALISA,7
SANSA,VARYS,7
THEON,YARA,7
BARRISTAN,DAARIO,6
BERIC,MELISANDRE,6
BRIENNE,CATELYN,6
BRYNDEN,WALDER,6
CATELYN,JOYEUSE,6
DAARIO,GREY_WORM,6
EDDISON_TOLLETT,JEOR,6
FARMER,YGRITTE,6
HOT_PIE,THOROS,6
JAIME,RENLY,6
JORAH,MERO,6
MACE,OLENNA,6
MERO,MISSANDEI,6
NED,SANSA,6
ROBB,ROSLIN,6
ROBB,THEON,6
ARYA,MELISANDRE,5
BARRISTAN,GREY_WORM,5
BARRISTAN,ROBERT,5
BLACK_WALDER,EDMURE,5
BLACK_WALDER,LOTHAR,5
BRAN,NED,5
BRYNDEN,RICKARD_KARSTARK,5
CATELYN,RICKARD_KARSTARK,5
CERSEI,VARYS,5
CRASTER,SAM,5
GENDRY,HOUND,5
HOSTER,ROBB,5
JOFFREY,NED,5
JOFFREY,PYCELLE,5
JOJEN,JON,5
JON,PYP,5
JORAH,KRAZNYS_MO_NAKLOZ,5
JORAH,ROBERT,5
MARGAERY,TYRION,5
MARTYN,WILLEM_LANNISTER,5
PYP,SAM,5
RAMSAY,ROOSE_BOLTON,5
RANDYLL,SAM,5
ROBB,SANSA,5
ARYA,CERSEI,4
ARYA,JOFFREY,4
BALON,RAMSAY,4
BRAN,ORELL,4
BRAN,ROBB,4
BRONN,JOFFREY,4
CATELYN,ROSLIN,4
CERSEI,TARYN_MANT,4
EDMURE,FREY_SEPTON,4
EDMURE,RICKARD_KARSTARK,4
FARMER,ORELL,4
GILLY,JOJEN,4
GREIZHEN,MISSANDEI,4
JAIME,TYRION,4
JOFFREY,MERYN_TRANT,4
JOFFREY,VARYS,4
JOYEUSE,ROBB,4
JOYEUSE,TALISA,4
JOYEUSE,WALDER,4
LITTLEFINGER,PYCELLE,4
LITTLEFINGER,TYWIN,4
LOCKE,TYWIN,4
LORD_OF_BONES,MANCE,4
LORD_OF_BONES,TORMUND,4
LORD_OF_BONES,YGRITTE,4
LOTHAR,WALDER,4
MAREI,TYRION,4
MARGAERY,RENLY,4
MARGAERY,TYWIN,4
MELISANDRE,ROBERT,4
PYCELLE,VARYS,4
QYBURN,ROOSE_BOLTON,4
QYBURN,TALISA,4
RAMSAY,YARA,4
RICKARD_KARSTARK,ROOSE_BOLTON,4
ROBERT,STANNIS,4
ROSLIN,TALISA,4
SORCERER,VARYS,4
TARYN_MANT,TYRION,4
AERYS,BARRISTAN,3
AERYS,ROBERT,3
ANGUY,MELISANDRE,3
BERIC,MOUNTAIN,3
BERIC,NED,3
BLACK_WALDER,BRYNDEN,3
BLACK_WALDER,CATELYN,3
BRAN,GILLY,3
BRANDON_STARK,CATELYN,3
BRANDON_STARK,JOJEN,3
BRIENNE,SELWYN,3
BRONN,CERSEI,3
BRONN,SANSA,3
BRYNDEN,LOTHAR,3
CATELYN,TYRION,3
CRASTER,GRENN,3
DAENERYS,GREIZHEN,3
EDMURE,ROOSE_BOLTON,3
FARMER,JOJEN,3
GENDRY,ROBERT,3
GILLY,HODOR,3
GILLY,RANDYLL,3
HIGH_SEPTON,JOFFREY,3
HIGH_SEPTON,MARGAERY,3
HODOR,ORELL,3
HOSTER,WALDER,3
HOUND,JOFFREY,3
JAIME,ROBB,3
JAIME,SELWYN,3
JOANNA,TYWIN,3
JOFFREY,RENLY,3
JOFFREY,ROBB,3
JOFFREY,SHAE,3
JOJEN,NED,3
JOJEN,ORELL,3
JON,LORD_OF_BONES,3
JON,NED,3
JON,OSHA,3
LITTLEFINGER,OLYVAR,3
LITTLEFINGER,ROS,3
LITTLEFINGER,SHAE,3
LORAS,MACE,3
LOTHAR,ROBB,3
MACE,MARGAERY,3
MEERA,ORELL,3
MERRY,WALDER,3
MERYN_TRANT,PODRICK,3
MISSANDEI,PRENDAHL,3
MISSANDEI,RADZAI_MO_ERAZ,3
MOUNTAIN,ROBB,3
NED,ROBB,3
NED,ROBERT,3
NED,VARYS,3
OLENNA,PODRICK,3
OLENNA,ROBERT,3
ORELL,OSHA,3
ORELL,RICKON,3
PODRICK,SHAE,3
QYBURN,ROBB,3
RAMSAY,ROBB,3
RENLY,STANNIS,3
RICKARD_KARSTARK,TALISA,3
RICKARD_KARSTARK,WILLEM_LANNISTER,3
ROBB,STANNIS,3
ROBB,TYRION,3
ROBERT,THOROS,3
ROOSE_BOLTON,STEELSHANKS_WALTON,3
ROOSE_BOLTON,THEON,3
ROS,TYRION,3
SORCERER,TYRION,3
STANNIS,TYWIN,3
AEGON,DAVOS,2
AEGON,SHIREEN,2
AERYS,JAIME,2
AERYS,JOFFREY,2
AERYS,NED,2
ANGUY,HOT_PIE,2
ARYA,CATELYN,2
ARYA,ILYN_PAYNE,2
ARYA,MERYN_TRANT,2
ARYA,MYCAH,2
ARYA,ROBB,2
ARYA,ROOSE_BOLTON,2
ARYA,SANSA,2
BALERION,DAVOS,2
BALON,ROBB,2
BALON,ROOSE_BOLTON,2
BARRISTAN,KRAZNYS_MO_NAKLOZ,2
BARRISTAN,RADZAI_MO_ERAZ,2
BERT,SHIREEN,2
BLACK_WALDER,JOYEUSE,2
BOROS,MERYN_TRANT,2
BRAN,FARMER,2
BRAN,MAESTER_LUWIN,2
BRAN,THEON,2
BRAN,TORMUND,2
BRAN,YGRITTE,2
BRONN,HIGH_SEPTON,2
BRONN,LORAS,2
BRONN,MARGAERY,2
BRONN,OLENNA,2
BRONN,PYCELLE,2
BRONN,SHAE,2
BRONN,TARYN_MANT,2
BRONN,TYWIN,2
BRYNDEN,HOSTER,2
BRYNDEN,ROSLIN,2
CATELYN,HOUND,2
CATELYN,JON,2
CATELYN,LOTHAR,2
CATELYN,RICKON,2
CATELYN,TYWIN,2
CERSEI,HIGH_SEPTON,2
CERSEI,HOUND,2
CERSEI,ILYN_PAYNE,2
CERSEI,PODRICK,2
CERSEI,STANNIS,2
CRASTER,EDDISON_TOLLETT,2
CRASTER,JON,2
DAENERYS,DROGO,2
DAENERYS,ROBERT,2
DAREON,HOBB,2
DAREON,SAM,2
DAVOS,MATTHOS,2
DAVOS,ROBB,2
DAVOS,RYLENE,2
DESMOND,ELDRICK,2
DESMOND,SANSA,2
DESMOND,TYRION,2
EDDISON_TOLLETT,KARL_TANNER,2
EDMURE,HOUND,2
EDMURE,JOYEUSE,2
EDMURE,MOUNTAIN,2
EDMURE,TYWIN,2
FARMER,HODOR,2
FARMER,MEERA,2
FARMER,OSHA,2
FARMER,RICKON,2
FREY_SEPTON,ROSLIN,2
FREY_SEPTON,WALDER,2
GENDRY,TYWIN,2
GILLY,RAST,2
GREIZHEN,JORAH,2
GREIZHEN,KRAZNYS_MO_NAKLOZ,2
GRENN,KARL_TANNER,2
GREY_WORM,MERO,2
GREY_WORM,MISSANDEI,2
HIGH_SEPTON,LORAS,2
HIGH_SEPTON,OLENNA,2
HIGH_SEPTON,PYCELLE,2
HIGH_SEPTON,SANSA,2
HIGH_SEPTON,TYRION,2
HIGH_SEPTON,TYWIN,2
HODOR,JON,2
HODOR,TORMUND,2
HODOR,YGRITTE,2
HOUND,ILYN_PAYNE,2
HOUND,MERYN_TRANT,2
HOUND,NED,2
HOUND,ROBB,2
HOUND,ROOSE_BOLTON,2
ILYN_PAYNE,JOFFREY,2
ILYN_PAYNE,MERYN_TRANT,2
ILYN_PAYNE,NED,2
JAIME,LORAS,2
JAIME,NED,2
JAIME,PYCELLE,2
JAIME,STANNIS,2
JEOR,JON,2
JOFFREY,STANNIS,2
JOJEN,TORMUND,2
JOJEN,YGRITTE,2
JON,MEERA,2
JON,QHORIN_HALFHAND,2
JON,RICKON,2
JORAH,PRENDAHL,2
JOYEUSE,ROSLIN,2
KARL_TANNER,RAST,2
KARL_TANNER,SAM,2
LITTLEFINGER,PODRICK,2
LOCKE,QYBURN,2
LOCKE,STEELSHANKS_WALTON,2
LORAS,PYCELLE,2
LORAS,RENLY,2
LORAS,SHAE,2
LOTHAR,ROSLIN,2
LOTHAR,TALISA,2
LYSA,TYWIN,2
LYSA,VARYS,2
MARGAERY,PYCELLE,2
MARTYN,ROBB,2
MEERA,TORMUND,2
MEERA,YGRITTE,2
MELISANDRE,SELYSE,2
MOUNTAIN,THOROS,2
MOUNTAIN,TYWIN,2
MYRANDA,RAMSAY,2
NED,RICKARD_KARSTARK,2
NED,THOROS,2
NED,TYRION,2
OLENNA,PYCELLE,2
OLENNA,RENLY,2
OSHA,TORMUND,2
OSHA,YGRITTE,2
PODRICK,SANSA,2
PYCELLE,SANSA,2
QHORIN_HALFHAND,YGRITTE,2
QYBURN,SELWYN,2
QYBURN,TYWIN,2
RAMSAY,VIOLET,2
RENLY,ROBERT,2
RENLY,SANSA,2
RENLY,TYWIN,2
RICKARD_KARSTARK,ROSLIN,2
RICKARD_KARSTARK,THEON,2
RICKARD_KARSTARK,WALDER,2
RICKON,ROBB,2
RICKON,THEON,2
RICKON,TORMUND,2
RICKON,YGRITTE,2
ROBB,VARYS,2
ROBERT,TYWIN,2
RYLENE,STANNIS,2
SALLADHOR,STANNIS,2
SELYSE,SHIREEN,2
SHAE,TYWIN,2
STEELSHANKS_WALTON,TYWIN,2
TYRION,WALDER,2
TYWIN,WALDER,2
ARYA,HOUND,162
JAIME,TYRION,147
CERSEI,JAIME,131
DAENERYS,JORAH,106
CERSEI,TYWIN,104
LITTLEFINGER,SANSA,96
TYRION,TYWIN,94
JON,SAM,89
LYSA,SANSA,88
BRONN,TYRION,86
JAIME,TYWIN,83
PODRICK,TYRION,80
GILLY,SAM,79
OBERYN,TYWIN,79
BRIENNE,PODRICK,78
OBERYN,TYRION,78
SHAE,TYRION,78
ALLISER_THORNE,JON,68
JOFFREY,TYRION,64
DAENERYS,MISSANDEI,63
RAMSAY,THEON,63
CERSEI,OBERYN,57
LITTLEFINGER,LYSA,55
DAARIO,DAENERYS,54
GRENN,JON,52
DAVOS,STANNIS,51
GREY_WORM,MISSANDEI,50
JON,MANCE,50
ELLARIA,OBERYN,48
BRAN,MEERA,47
MARGAERY,OLENNA,46
SANSA,TYRION,46
ROBIN,SANSA,45
BRAN,HODOR,44
JOJEN,MEERA,44
CERSEI,JOFFREY,43
CERSEI,TYRION,43
TOMMEN,TYWIN,43
BRAN,JOJEN,42
EDDISON_TOLLETT,JON,41
BRIENNE,JAIME,40
JANOS,JON,39
RAMSAY,ROOSE_BOLTON,39
CERSEI,MARGAERY,38
ARYA,BRIENNE,36
JOFFREY,MARGAERY,36
MELISANDRE,SELYSE,36
JON,TORMUND,35
BARRISTAN,JORAH,34
OBERYN,VARYS,34
PYP,SAM,34
BARRISTAN,DAENERYS,32
STYR,YGRITTE,32
EDDISON_TOLLETT,GRENN,31
JAIME,JOFFREY,31
DONTOS,SANSA,30
JOFFREY,TYWIN,30
LITTLEFINGER,YOHN_ROYCE,30
BRONN,JAIME,29
HOUND,POLLIVER,29
MARGAERY,TOMMEN,29
TORMUND,YGRITTE,29
CERSEI,PYCELLE,28
DAVOS,SHIREEN,27
TYRION,VARYS,27
ALLISER_THORNE,JANOS,26
DAENERYS,GREY_WORM,26
MAESTER_AEMON,SAM,26
CERSEI,TOMMEN,25
JOFFREY,SANSA,25
DAENERYS,HIZDAHR,24
GILLY,MOLES_TOWN_WHORE,24
MELISANDRE,SHIREEN,24
BRIENNE,HOT_PIE,23
BRIENNE,HOUND,22
ANYA_WAYNWOOD,LITTLEFINGER,21
HODOR,JOJEN,21
JON,LOCKE,21
LITTLEFINGER,ROBIN,21
MACE,TYWIN,21
OBERYN,OLYVAR,21
SELYSE,STANNIS,21
FARMER_HAMLET,HOUND,20
GILLY,LITTLE_SAM,20
HODOR,MEERA,20
STYR,TORMUND,20
THEON,YARA,20
ARYA,POLLIVER,19
CERSEI,QYBURN,18
DAVOS,TYCHO,18
ELLARIA,OLYVAR,18
MORGAN,OBERYN,18
MOUNTAIN,OBERYN,18
RALF,THEON,18
SHAE,TYWIN,18
TYWIN,VARYS,18
ARYA,TERNESIO_TERYS,17
JON,YGRITTE,17
KARL_TANNER,MEERA,17
LITTLE_SAM,SAM,17
LYSA,ROBIN,17
MYRANDA,RAMSAY,17
SANSA,SHAE,17
STANNIS,TYCHO,17
CERSEI,VARYS,16
GRENN,SAM,16
PYCELLE,TYWIN,16
DAENERYS,FENNESZ,15
RAMSAY,TANSY,15
SANSA,YOHN_ROYCE,15
BRAN,JON,14
BRIENNE,CERSEI,14
DAARIO,GREY_WORM,14
DAVOS,SALLADHOR,14
ELIA,OBERYN,14
GRENN,LOCKE,14
JAIME,LORAS,14
JOJEN,KARL_TANNER,14
JON,OLLY,14
MACE,OBERYN,14
MACE,TYRION,14
OLENNA,TYWIN,14
ROOSE_BOLTON,THEON,14
ALLISER_THORNE,GRENN,13
ARYA,FARMER_HAMLET,13
BARRISTAN,MISSANDEI,13
BRAN,LOCKE,13
CERSEI,MACE,13
CERSEI,MOUNTAIN,13
GRENN,JANOS,13
JAIME,PODRICK,13
JAIME,TOMMEN,13
JOFFREY,TOMMEN,13
KARL_TANNER,RAST,13
BRIENNE,MARGAERY,12
DYING_MAN,HOUND,12
JAIME,OBERYN,12
JON,STANNIS,12
MANCE,STANNIS,12
PYCELLE,QYBURN,12
TOMMEN,TYRION,12
ALLISER_THORNE,MAESTER_AEMON,11
ANYA_WAYNWOOD,SANSA,11
BARRISTAN,GREY_WORM,11
CATELYN,LYSA,11
DONTOS,LITTLEFINGER,11
ELLARIA,TYRION,11
FARMER_HAMLET,SALLY,11
JAIME,MARGAERY,11
JON,KARL_TANNER,11
JORAH,MISSANDEI,11
ANYA_WAYNWOOD,YOHN_ROYCE,10
ARYA,DYING_MAN,10
DAARIO,JORAH,10
KARL_TANNER,SISSY,10
MORGAN,MORGANS_FRIEND,10
OLLY,STYR,10
ALLISER_THORNE,SAM,9
BRAN,THREE_EYED_RAVEN,9
BRONN,PODRICK,9
CERSEI,SANSA,9
CRASTER,JON,9
DAARIO,MISSANDEI,9
ELLARIA,MAREI,9
ELLARIA,TYWIN,9
GREY_WORM,JORAH,9
JAIME,SANSA,9
JANOS,SAM,9
JOFFREY,MACE,9
JOFFREY,OLENNA,9
JON,MAESTER_AEMON,9
ALLISER_THORNE,PYP,8
BALON_DWARF,ROBB_DWARF,8
BRONN,OBERYN,8
DONNEL_HILL,GRENN,8
EDDISON_TOLLETT,JANOS,8
EDDISON_TOLLETT,SAM,8
ELLARIA,MORGAN,8
JAIME,MACE,8
JOFFREY,OBERYN,8
JON,MORAG,8
LORAS,MARGAERY,8
MACE,VARYS,8
MARGAERY,TYRION,8
MORGANS_FRIEND,OBERYN,8
PYCELLE,VARYS,8
SANSA,TYWIN,8
ALLISER_THORNE,LOCKE,7
BARRISTAN,DAARIO,7
BOLTON_GUARD,YARA,7
BRAN,KARL_TANNER,7
BRAN,LEAF,7
CERSEI,ELLARIA,7
CERSEI,LORAS,7
CERSEI,SHAE,7
CRASTER,EDDISON_TOLLETT,7
DAENERYS,MEEREEN_CHAMPION,7
DAVOS,JON,7
DONGO_THE_GIANT,MAG_THE_MIGHTY,7
DORNISH_LORD,TYRION,7
EDDISON_TOLLETT,PYP,7
ENDREW,JAIME,7
GILLY,PYP,7
GRENN,MAG_THE_MIGHTY,7
GUYMON,OLLY,7
HIZDAHR,HIZDAHRS_FATHER,7
HODOR,LOCKE,7
JOFFREY,LITTLEFINGER,7
JOFFREY,SHAE,7
JON,PYP,7
JON,SISSY,7
LORAS,TOMMEN,7
MACE,MARGAERY,7
MACE,TOMMEN,7
MAREI,OBERYN,7
MELISANDRE,STANNIS,7
MOLES_TOWN_MADAM,SAM,7
NED,SANSA,7
OBERYN,PYCELLE,7
OBERYN,SHAE,7
OLLY,SAM,7
OLLY,YGRITTE,7
RAMSAY,YARA,7
RENLY_DWARF,STANNIS_DWARF,7
SHIREEN,STANNIS,7
ALLISER_THORNE,OTHELL_YARWYCK,6
ARYA,SALLY,6
BALON,THEON,6
BRIENNE,CATELYN,6
BRIENNE,JOFFREY,6
BRIENNE,SANSA,6
CATELYN,SANSA,6
CERSEI,DONTOS,6
CERSEI,MYRCELLA,6
DAVOS,MANCE,6
DAVOS,SELYSE,6
DONTOS,JOFFREY,6
ELDER_MEEREEN_SLAVE,MOSSADOR,6
FIRST_MATE,YARA,6
GOATHERD,MISSANDEI,6
GRENN,OLLY,6
GRENN,PYP,6
HOUND,JOFFREY,6
HOUND,LYSA,6
HOUND,RORGE,6
HOUND,SALLY,6
JAIME,VARYS,6
JOFFREY_DWARF,ROBB_DWARF,6
JON,STYR,6
JON_ARRYN,LYSA,6
LORAS,TYWIN,6
MAREI,OLYVAR,6
MARGAERY,SANSA,6
MARGAERY,TYWIN,6
MEERA,THREE_EYED_RAVEN,6
MERYN_TRANT,TYRION,6
MORGAN,OLYVAR,6
MOUNTAIN,PYCELLE,6
MOUNTAIN,QYBURN,6
MOUNTAIN,TYWIN,6
MYRANDA,TANSY,6
OBERYN,TOMMEN,6
ORSON,TYRION,6
PYCELLE,TYRION,6
SAM,TORMUND,6
TANSY,THEON,6
ALLISER_THORNE,EDDISON_TOLLETT,5
ALLISER_THORNE,TORMUND,5
BRIENNE,OLENNA,5
BRIENNE,TYRION,5
CATELYN,LITTLEFINGER,5
CRASTER,KARL_TANNER,5
CRASTER,RAST,5
DAENERYS,GOATHERD,5
DAVOS,MELISANDRE,5
DONTOS,TYRION,5
EDDISON_TOLLETT,LOCKE,5
EDDISON_TOLLETT,MORAG,5
ENDREW,JOFFREY,5
FENNESZ,MASTER_MIGHDAL,5
FIRST_MATE,THEON,5
GRENN,MORAG,5
HIGH_SEPTON,JOFFREY,5
HIGH_SEPTON,TOMMEN,5
HIZDAHR,MANSERVANT,5
HOT_PIE,PODRICK,5
HOUND,PODRICK,5
JAIME,QYBURN,5
JAIME,SHAE,5
JANOS,OLLY,5
JOFFREY,PODRICK,5
JOFFREY,POLLIVER,5
JOFFREY,PYCELLE,5
JON,NED,5
LHARA,SALLADHOR,5
LUTHOR,OLENNA,5
LYSA,TYRION,5
MACE,PYCELLE,5
MACE,SANSA,5
MACE,SHAE,5
MARGAERY,OBERYN,5
MOUNTAIN,TYRION,5
OBERYN,PODRICK,5
OLENNA,TYRION,5
RAMSAY,WALDA,5
ROOSE_BOLTON,WALDA,5
SELYSE,SHIREEN,5
ADRACK_HUMBLE,THEON,4
AERYS,JAIME,4
AERYS,ROBERT,4
ARYA,RORGE,4
AXELL_FLORENT,MELISANDRE,4
AXELL_FLORENT,SELYSE,4
BALON_DWARF,JOFFREY_DWARF,4
BALON_DWARF,STANNIS_DWARF,4
BLACK_JACK,KEGS,4
BLACK_JACK,MULLY,4
BRAN,CRASTER,4
BRAN,RAST,4
BRONN,MORGAN,4
CATELYN,CERSEI,4
CATELYN,NED,4
CATELYN,ROBB,4
COOPER,GRENN,4
CRASTER,GRENN,4
CRASTER,LOCKE,4
CRASTER,MORAG,4
CRASTER,SISSY,4
CRASTERS_BABY,RAST,4
CRASTERS_BABY,SISSY,4
DAARIO,MEEREEN_CHAMPION,4
DAENERYS,HIZDAHRS_FATHER,4
EDDISON_TOLLETT,SISSY,4
ELDER_MEEREEN_SLAVE,GREY_WORM,4
ELDER_MEEREEN_SLAVE,MEEREEN_SLAVE,4
ELIA,MOUNTAIN,4
ELIA,TYWIN,4
ELLARIA,JAIME,4
ELLARIA,MOUNTAIN,4
ELLARIA,PODRICK,4
GILLY,JANOS,4
GILLY,STYR,4
GILLY,YGRITTE,4
GRENN,SISSY,4
HIGH_SEPTON,JAIME,4
HIGH_SEPTON,MARGAERY,4
JANOS,MAESTER_AEMON,4
JOFFREY,JOFFREY_DWARF,4
JOFFREY,NED,4
JON,MAG_THE_MIGHTY,4
JON_ARRYN,LITTLEFINGER,4
KEGS,MULLY,4
LEAF,MEERA,4
LITTLE_SAM,MOLES_TOWN_WHORE,4
LITTLEFINGER,NED,4
LOCKE,RAMSAY,4
LORAS,OBERYN,4
LYSA,NED,4
LYSA,YOHN_ROYCE,4
MANCE,TORMUND,4
MERYN_TRANT,ROOSE_BOLTON,4
MERYN_TRANT,TYWIN,4
MORAG,SISSY,4
MORGAN,TYRION,4
MYRANDA,THEON,4
MYRANDA,YARA,4
OBERYN,SANSA,4
OLLY,OLLYS_MOTHER,4
PODRICK,SANSA,4
PYCELLE,TOMMEN,4
SAM,STYR,4
SAM,YGRITTE,4
