Source,Target,weight,book
Bran-Stark,Rickon-Stark,32,1
Bran-Stark,Robb-Stark,112,1
Bran-Stark,Robert-Baratheon,11,1
Bran-Stark,Rodrik-Cassel,6,1
Bran-Stark,Sansa-Stark,10,1
Bran-Stark,Stiv,4,1
Bran-Stark,Theon-Greyjoy,23,1
Bran-Stark,Tommen-Baratheon,5,1
Bran-Stark,Tyrion-Lannister,31,1
Bran-Stark,Yoren,3,1
Brandon-Stark,Eddard-Stark,11,1
Brandon-Stark,Lyanna-Stark,4,1
Brandon-Stark,Petyr-Baelish,14,1
Brandon-Stark,Rickard-Stark,3,1
Brandon-Stark,Robert-Baratheon,5,1
Bronn,Catelyn-Stark,6,1
Bronn,Chiggen,8,1
Bronn,Marillion,4,1
Bronn,Rodrik-Cassel,4,1
Bronn,Shae,3,1
Bronn,Shagga,3,1
Bronn,Tyrion-Lannister,61,1
Bronn,Tywin-Lannister,4,1
Bronn,Vardis-Egen,11,1
Bronn,Willis-Wode,5,1
Brynden-Tully,Catelyn-Stark,16,1
Brynden-Tully,Edmure-Tully,3,1
Brynden-Tully,Hoster-Tully,5,1
Brynden-Tully,Jaime-Lannister,7,1
Brynden-Tully,Lysa-Arryn,10,1
Brynden-Tully,Nestor-Royce,3,1
Brynden-Tully,Robb-Stark,9,1
Brynden-Tully,Theon-Greyjoy,6,1
Brynden-Tully,Tyrion-Lannister,4,1
Brynden-Tully,Tywin-Lannister,3,1
Brynden-Tully,Walder-Frey,3,1
Catelyn-Stark,Cersei-Lannister,12,1
Catelyn-Stark,Colemon,3,1
Catelyn-Stark,Donnel-Waynwood,3,1
Catelyn-Stark,Eddard-Stark,64,1
Catelyn-Stark,Edmure-Tully,7,1
Catelyn-Stark,Eon-Hunter,3,1
Catelyn-Stark,Hallis-Mollen,10,1
Catelyn-Stark,Hoster-Tully,6,1
Catelyn-Stark,Jaime-Lannister,9,1
Catelyn-Stark,Joffrey-Baratheon,4,1
Catelyn-Stark,Jon-Arryn,11,1
Catelyn-Stark,Jon-Snow,14,1
Catelyn-Stark,Jon-Umber-(Greatjon),4,1
Catelyn-Stark,Luwin,14,1
Catelyn-Stark,Lysa-Arryn,33,1
Catelyn-Stark,Marillion,6,1
Catelyn-Stark,Masha-Heddle,5,1
Catelyn-Stark,Moreo-Tumitis,3,1
Catelyn-Stark,Mya-Stone,9,1
Catelyn-Stark,Mychel-Redfort,3,1
Catelyn-Stark,Nestor-Royce,3,1
Catelyn-Stark,Petyr-Baelish,22,1
Catelyn-Stark,Rickard-Karstark,6,1
Catelyn-Stark,Rickon-Stark,3,1
Catelyn-Stark,Robb-Stark,49,1
Catelyn-Stark,Robert-Arryn,3,1
Catelyn-Stark,Robert-Baratheon,22,1
Catelyn-Stark,Rodrik-Cassel,25,1
Catelyn-Stark,Sansa-Stark,9,1
Catelyn-Stark,Stevron-Frey,5,1
Catelyn-Stark,Theon-Greyjoy,9,1
Catelyn-Stark,Tyrion-Lannister,49,1
Catelyn-Stark,Tytos-Blackwood,4,1
Catelyn-Stark,Tywin-Lannister,7,1
Catelyn-Stark,Vardis-Egen,5,1
Catelyn-Stark,Varys,10,1
Catelyn-Stark,Walder-Frey,13,1
Catelyn-Stark,Wendel-Manderly,3,1
Catelyn-Stark,Willis-Wode,5,1
Cayn,Eddard-Stark,7,1
Cayn,Renly-Baratheon,3,1
Cayn,Tomard,6,1
Cersei-Lannister,Eddard-Stark,69,1
Cersei-Lannister,Ilyn-Payne,4,1
Cersei-Lannister,Jaime-Lannister,16,1
Cersei-Lannister,Janos-Slynt,4,1
Cersei-Lannister,Joffrey-Baratheon,42,1
Cersei-Lannister,Jon-Arryn,7,1
Cersei-Lannister,Jon-Snow,4,1
Cersei-Lannister,Jory-Cassel,5,1
Cersei-Lannister,Meryn-Trant,4,1
Cersei-Lannister,Mordane,3,1
Cersei-Lannister,Myrcella-Baratheon,7,1
Cersei-Lannister,Petyr-Baelish,13,1
Cersei-Lannister,Pycelle,9,1
Cersei-Lannister,Renly-Baratheon,5,1
Cersei-Lannister,Robert-Baratheon,72,1
Cersei-Lannister,Sandor-Clegane,5,1
Cersei-Lannister,Sansa-Stark,29,1
Cersei-Lannister,Stannis-Baratheon,5,1
Cersei-Lannister,Tommen-Baratheon,4,1
Cersei-Lannister,Tyrion-Lannister,27,1
Cersei-Lannister,Tywin-Lannister,10,1
Cersei-Lannister,Varys,19,1
Cersei-Lannister,Vayon-Poole,4,1
Chella,Tyrion-Lannister,5,1
Chett,Jon-Snow,4,1
Chett,Samwell-Tarly,6,1
Chiggen,Tyrion-Lannister,5,1
Chiggen,Willis-Wode,3,1
Clement-Piper,Karyl-Vance,4,1
Cohollo,Daenerys-Targaryen,7,1
Cohollo,Drogo,9,1
Cohollo,Haggo,7,1
Cohollo,Qotho,6,1
Colemon,Vardis-Egen,4,1
Conn,Coratt,5,1
Conn,Shagga,9,1
Conn,Tyrion-Lannister,6,1
Daenerys-Targaryen,Doreah,15,1
Daenerys-Targaryen,Drogo,101,1
Daenerys-Targaryen,Eddard-Stark,5,1
Daenerys-Targaryen,Eroeh,5,1
Daenerys-Targaryen,Haggo,12,1
Daenerys-Targaryen,Illyrio-Mopatis,24,1
Daenerys-Targaryen,Irri,25,1
Daenerys-Targaryen,Jhiqui,26,1
Daenerys-Targaryen,Jhogo,17,1
Daenerys-Targaryen,Jorah-Mormont,75,1
Daenerys-Targaryen,Mirri-Maz-Duur,31,1
Daenerys-Targaryen,Qotho,18,1
Daenerys-Targaryen,Quaro,5,1
Daenerys-Targaryen,Rakharo,4,1
Daenerys-Targaryen,Rhaegar-Targaryen,4,1
Daenerys-Targaryen,Robert-Baratheon,11,1
Daenerys-Targaryen,Varys,5,1
Daenerys-Targaryen,Viserys-Targaryen,37,1
Danwell-Frey,Hosteen-Frey,3,1
Danwell-Frey,Jared-Frey,3,1
Danwell-Frey,Walder-Frey,3,1
Dareon,Jon-Snow,6,1
Daryn-Hornwood,Eddard-Stark,3,1
Daryn-Hornwood,Torrhen-Karstark,3,1
Desmond,Eddard-Stark,4,1
Dolf,Shagga,7,1
Donal-Noye,Jon-Snow,7,1
Doreah,Drogo,5,1
Doreah,Irri,14,1
Doreah,Jhiqui,11,1
Doreah,Jorah-Mormont,3,1
Doreah,Viserys-Targaryen,3,1
Drogo,Haggo,9,1
Drogo,Illyrio-Mopatis,16,1
Drogo,Irri,9,1
Drogo,Jhiqui,5,1
Drogo,Jhogo,7,1
Drogo,Jommo,3,1
Drogo,Jorah-Mormont,16,1
Drogo,Mirri-Maz-Duur,12,1
Drogo,Ogo,11,1
Drogo,Qotho,13,1
Drogo,Quaro,3,1
Drogo,Rakharo,4,1
Drogo,Rhaego,5,1
Drogo,Robert-Baratheon,3,1
Drogo,Viserys-Targaryen,19,1
Dywen,Jon-Snow,4,1
Eddard-Stark,Edmure-Tully,3,1
Eddard-Stark,Galbart-Glover,4,1
Eddard-Stark,Gendry,3,1
Eddard-Stark,Gerold-Hightower,3,1
Eddard-Stark,Gregor-Clegane,10,1
Eddard-Stark,Harwin,5,1
Eddard-Stark,High-Septon-(fat_one),4,1
Eddard-Stark,Howland-Reed,3,1
Eddard-Stark,Ilyn-Payne,6,1
Eddard-Stark,Jacks,4,1
Eddard-Stark,Jaime-Lannister,27,1
Eddard-Stark,Janos-Slynt,4,1
Eddard-Stark,Joffrey-Baratheon,26,1
Eddard-Stark,Jon-Arryn,47,1
Eddard-Stark,Jon-Snow,38,1
Eddard-Stark,Jory-Cassel,32,1
Eddard-Stark,Joss,5,1
Eddard-Stark,Loras-Tyrell,12,1
Eddard-Stark,Luwin,16,1
Eddard-Stark,Lyanna-Stark,19,1
Eddard-Stark,Lysa-Arryn,12,1
Eddard-Stark,Marq-Piper,3,1
Eddard-Stark,Mordane,11,1
Eddard-Stark,Mycah,3,1
Eddard-Stark,Petyr-Baelish,81,1
Eddard-Stark,Porther,4,1
Eddard-Stark,Pycelle,33,1
Eddard-Stark,Raymun-Darry,4,1
Eddard-Stark,Renly-Baratheon,33,1
Eddard-Stark,Rhaegar-Targaryen,10,1
Eddard-Stark,Rickard-Karstark,4,1
Eddard-Stark,Rickon-Stark,4,1
Eddard-Stark,Robb-Stark,16,1
Eddard-Stark,Robert-Baratheon,291,1
Eddard-Stark,Rodrik-Cassel,7,1
Eddard-Stark,Sandor-Clegane,10,1
Eddard-Stark,Sansa-Stark,34,1
Eddard-Stark,Stannis-Baratheon,18,1
Eddard-Stark,Syrio-Forel,6,1
Eddard-Stark,Theon-Greyjoy,5,1
Eddard-Stark,Tobho-Mott,7,1
Eddard-Stark,Tomard,15,1
Eddard-Stark,Torrhen-Karstark,5,1
Eddard-Stark,Tregar,4,1
Eddard-Stark,Tyrion-Lannister,21,1
Eddard-Stark,Tywin-Lannister,18,1
Eddard-Stark,Varly,4,1
Eddard-Stark,Varys,61,1
Eddard-Stark,Vayon-Poole,12,1
Eddard-Stark,Wyl-(guard),3,1
Eddard-Stark,Wylla,3,1
Edmure-Tully,Hoster-Tully,7,1
Edmure-Tully,Jaime-Lannister,4,1
Edmure-Tully,Karyl-Vance,4,1
Edmure-Tully,Lysa-Arryn,5,1
Edmure-Tully,Marq-Piper,3,1
Edmure-Tully,Petyr-Baelish,4,1
Edmure-Tully,Robb-Stark,5,1
Edmure-Tully,Tytos-Blackwood,3,1
Eon-Hunter,Lysa-Arryn,3,1
Eon-Hunter,Vardis-Egen,3,1
Fogo,Ogo,4,1
Galbart-Glover,Jaime-Lannister,3,1
Galbart-Glover,Jon-Umber-(Greatjon),4,1
Galbart-Glover,Rickard-Karstark,4,1
Galbart-Glover,Robb-Stark,5,1
Galbart-Glover,Roose-Bolton,3,1
Gared,Jeor-Mormont,4,1
Gared,Waymar-Royce,13,1
Gared,Will-(prologue),12,1
Gerold-Hightower,Oswell-Whent,3,1
Gerold-Hightower,Robert-Baratheon,4,1
Gregor-Clegane,Jaime-Lannister,3,1
Gregor-Clegane,Loras-Tyrell,10,1
Gregor-Clegane,Marq-Piper,6,1
Gregor-Clegane,Petyr-Baelish,3,1
Gregor-Clegane,Pycelle,3,1
Gregor-Clegane,Robert-Baratheon,4,1
Gregor-Clegane,Sandor-Clegane,11,1
Gregor-Clegane,Sansa-Stark,5,1
Gregor-Clegane,Tyrion-Lannister,7,1
Gregor-Clegane,Tywin-Lannister,6,1
Grenn,Halder,6,1
Grenn,Jeor-Mormont,3,1
Grenn,Jon-Snow,31,1
Grenn,Pypar,27,1
Grenn,Samwell-Tarly,8,1
Grenn,Todder,7,1
Gunthor-son-of-Gurn,Tyrion-Lannister,7,1
Haggo,Mirri-Maz-Duur,3,1
Haggo,Qotho,11,1
Haggo,Rakharo,3,1
Halder,Jon-Snow,23,1
Halder,Pypar,8,1
Halder,Rast,3,1
Halder,Samwell-Tarly,6,1
Halder,Todder,3,1
Hallis-Mollen,Luwin,4,1
Hallis-Mollen,Robb-Stark,13,1
Hallis-Mollen,Theon-Greyjoy,7,1
Harwin,Hullen,3,1
Harwin,Jory-Cassel,4,1
Harys-Swyft,Jaime-Lannister,3,1
Heward,Jory-Cassel,5,1
Heward,Wyl-(guard),3,1
High-Septon-(fat_one),Joffrey-Baratheon,4,1
Hobb,Jon-Snow,5,1
Hodor,Luwin,10,1
Hodor,Nan,8,1
Hodor,Robb-Stark,5,1
Hosteen-Frey,Jared-Frey,3,1
Hoster-Tully,Lysa-Arryn,3,1
Hoster-Tully,Robert-Baratheon,3,1
Hugh,Jon-Arryn,3,1
Hullen,Jory-Cassel,5,1
Hullen,Luwin,3,1
Hullen,Robb-Stark,3,1
Hullen,Rodrik-Cassel,3,1
Illyrio-Mopatis,Irri,3,1
Illyrio-Mopatis,Jorah-Mormont,7,1
Illyrio-Mopatis,Robert-Baratheon,6,1
Illyrio-Mopatis,Viserys-Targaryen,14,1
Ilyn-Payne,Jeyne-Poole,3,1
Ilyn-Payne,Joffrey-Baratheon,4,1
Ilyn-Payne,Loras-Tyrell,3,1
Ilyn-Payne,Robert-Baratheon,4,1
Ilyn-Payne,Sansa-Stark,9,1
Ilyn-Payne,Varys,5,1
Irri,Jhiqui,14,1
Irri,Jhogo,7,1
Irri,Jorah-Mormont,4,1
Irri,Viserys-Targaryen,5,1
Jafer-Flowers,Jaremy-Rykker,3,1
Jaime-Lannister,Joffrey-Baratheon,12,1
Jaime-Lannister,Jon-Arryn,5,1
Jaime-Lannister,Jory-Cassel,4,1
Jaime-Lannister,Kevan-Lannister,4,1
Jaime-Lannister,Loras-Tyrell,3,1
Jaime-Lannister,Lysa-Arryn,6,1
Jaime-Lannister,Petyr-Baelish,7,1
Jaime-Lannister,Renly-Baratheon,4,1
Jaime-Lannister,Rickard-Karstark,3,1
Jaime-Lannister,Robb-Stark,9,1
Jaime-Lannister,Robert-Baratheon,24,1
Jaime-Lannister,Rodrik-Cassel,3,1
Jaime-Lannister,Sandor-Clegane,12,1
Jaime-Lannister,Sansa-Stark,3,1
Jaime-Lannister,Tyrion-Lannister,36,1
Jaime-Lannister,Tywin-Lannister,16,1
Jaime-Lannister,Varys,3,1
Jaime-Lannister,Wyl-(guard),3,1
Janos-Slynt,Joffrey-Baratheon,4,1
Janos-Slynt,Petyr-Baelish,3,1
Janos-Slynt,Pycelle,3,1
Janos-Slynt,Robert-Baratheon,4,1
Janos-Slynt,Sansa-Stark,3,1
Jaremy-Rykker,Jeor-Mormont,11,1
Jaremy-Rykker,Jon-Snow,7,1
Jeor-Mormont,Jon-Snow,81,1
Jeor-Mormont,Robert-Baratheon,4,1
Jeor-Mormont,Samwell-Tarly,8,1
Jeor-Mormont,Tyrion-Lannister,23,1
Jeor-Mormont,Yoren,3,1
Jeyne-Poole,Loras-Tyrell,4,1
Jeyne-Poole,Mordane,7,1
Jeyne-Poole,Robert-Baratheon,3,1
Jeyne-Poole,Sansa-Stark,27,1
Jhiqui,Jorah-Mormont,4,1
Jhogo,Jorah-Mormont,5,1
Jhogo,Mirri-Maz-Duur,3,1
Joffrey-Baratheon,Jon-Snow,10,1
Joffrey-Baratheon,Loras-Tyrell,3,1
Joffrey-Baratheon,Meryn-Trant,3,1
Joffrey-Baratheon,Mordane,9,1
Joffrey-Baratheon,Mycah,14,1
Joffrey-Baratheon,Myrcella-Baratheon,5,1
Joffrey-Baratheon,Petyr-Baelish,11,1
Joffrey-Baratheon,Pycelle,4,1
Joffrey-Baratheon,Renly-Baratheon,9,1
Joffrey-Baratheon,Robb-Stark,19,1
Joffrey-Baratheon,Robert-Baratheon,30,1
Joffrey-Baratheon,Rodrik-Cassel,9,1
Joffrey-Baratheon,Sandor-Clegane,24,1
Joffrey-Baratheon,Sansa-Stark,87,1
Joffrey-Baratheon,Stannis-Baratheon,7,1
Joffrey-Baratheon,Tommen-Baratheon,8,1
Joffrey-Baratheon,Tyrion-Lannister,13,1
Joffrey-Baratheon,Tywin-Lannister,3,1
Joffrey-Baratheon,Varys,7,1
Jommo,Ogo,3,1
Jon-Arryn,Lysa-Arryn,12,1
Jon-Arryn,Petyr-Baelish,4,1
Jon-Arryn,Pycelle,11,1
Jon-Arryn,Robert-Baratheon,32,1
Jon-Arryn,Stannis-Baratheon,13,1
Jon-Arryn,Tyrion-Lannister,5,1
Jon-Arryn,Varys,5,1
Jon-Snow,Jory-Cassel,3,1
Jon-Snow,Luwin,10,1
Jon-Snow,Matthar,3,1
Jon-Snow,Mordane,4,1
Jon-Snow,Othor,5,1
Jon-Snow,Pypar,45,1
Jon-Snow,Rast,8,1
Jon-Snow,Rickon-Stark,11,1
Jon-Snow,Robb-Stark,53,1
Jon-Snow,Robert-Baratheon,18,1
Jon-Snow,Rodrik-Cassel,3,1
Jon-Snow,Samwell-Tarly,81,1
Jon-Snow,Sansa-Stark,8,1
Jon-Snow,Theon-Greyjoy,8,1
Jon-Snow,Todder,13,1
Jon-Snow,Tyrion-Lannister,56,1
Jon-Snow,Yoren,6,1
Jon-Umber-(Greatjon),Maege-Mormont,5,1
Jon-Umber-(Greatjon),Rickard-Karstark,7,1
Jon-Umber-(Greatjon),Robb-Stark,8,1
Jon-Umber-(Greatjon),Roose-Bolton,3,1
Jon-Umber-(Greatjon),Theon-Greyjoy,5,1
Jon-Umber-(Greatjon),Tywin-Lannister,3,1
Jonos-Bracken,Tytos-Blackwood,3,1
Jorah-Mormont,Mirri-Maz-Duur,5,1
Jorah-Mormont,Qotho,7,1
Jorah-Mormont,Rhaegar-Targaryen,5,1
Jorah-Mormont,Robert-Baratheon,3,1
Jorah-Mormont,Viserys-Targaryen,15,1
Jory-Cassel,Mordane,3,1
Jory-Cassel,Petyr-Baelish,8,1
Jory-Cassel,Robb-Stark,9,1
Jory-Cassel,Robert-Baratheon,7,1
Jory-Cassel,Rodrik-Cassel,5,1
Jory-Cassel,Sansa-Stark,9,1
Jory-Cassel,Stannis-Baratheon,3,1
Jory-Cassel,Theon-Greyjoy,3,1
Jory-Cassel,Tomard,5,1
Jory-Cassel,Vayon-Poole,5,1
Jory-Cassel,Wyl-(guard),6,1
Joseth,Luwin,3,1
Jyck,Morrec,5,1
Jyck,Tyrion-Lannister,6,1
Karyl-Vance,Marq-Piper,3,1
Kevan-Lannister,Tyrion-Lannister,15,1
Kevan-Lannister,Tywin-Lannister,9,1
Kurleket,Tyrion-Lannister,5,1
Lancel-Lannister,Robert-Baratheon,3,1
Leo-Lefford,Tyrion-Lannister,4,1
Loras-Tyrell,Mace-Tyrell,3,1
Loras-Tyrell,Petyr-Baelish,5,1
Loras-Tyrell,Renly-Baratheon,5,1
Loras-Tyrell,Robert-Baratheon,4,1
Loras-Tyrell,Rodrik-Cassel,3,1
Loras-Tyrell,Sandor-Clegane,4,1
Loras-Tyrell,Sansa-Stark,14,1
Luwin,Nan,4,1
Luwin,Osha,16,1
Luwin,Rickard-Karstark,3,1
Luwin,Rickon-Stark,9,1
Luwin,Robb-Stark,20,1
Luwin,Rodrik-Cassel,3,1
Luwin,Theon-Greyjoy,10,1
Luwin,Tommen-Baratheon,3,1
Luwin,Tyrion-Lannister,10,1
Lyanna-Stark,Robert-Baratheon,9,1
Lyanna-Stark,Sansa-Stark,4,1
Lyn-Corbray,Lysa-Arryn,3,1
Lysa-Arryn,Petyr-Baelish,4,1
Lysa-Arryn,Robert-Arryn,8,1
Lysa-Arryn,Robert-Baratheon,5,1
Lysa-Arryn,Stannis-Baratheon,4,1
Lysa-Arryn,Tyrion-Lannister,25,1
Lysa-Arryn,Vardis-Egen,5,1
Mace-Tyrell,Paxter-Redwyne,3,1
Maege-Mormont,Rickard-Karstark,3,1
Maegor-I-Targaryen,Sansa-Stark,4,1
Marillion,Rodrik-Cassel,5,1
Marillion,Tyrion-Lannister,10,1
Marillion,Willis-Wode,4,1
Marq-Piper,Tywin-Lannister,3,1
Meryn-Trant,Robert-Baratheon,3,1
Meryn-Trant,Sandor-Clegane,4,1
Meryn-Trant,Sansa-Stark,5,1
Meryn-Trant,Syrio-Forel,5,1
Mirri-Maz-Duur,Qotho,9,1
Mord,Tyrion-Lannister,20,1
Mordane,Myrcella-Baratheon,12,1
Mordane,Petyr-Baelish,3,1
Mordane,Robert-Baratheon,7,1
Mordane,Sansa-Stark,43,1
Morrec,Tyrion-Lannister,5,1
Mycah,Sandor-Clegane,5,1
Mycah,Sansa-Stark,10,1
Myrcella-Baratheon,Robert-Baratheon,3,1
Myrcella-Baratheon,Sansa-Stark,8,1
Myrcella-Baratheon,Tommen-Baratheon,6,1
Nan,Robb-Stark,4,1
Osha,Robb-Stark,3,1
Petyr-Baelish,Pycelle,14,1
Petyr-Baelish,Renly-Baratheon,12,1
Petyr-Baelish,Robert-Baratheon,30,1
Petyr-Baelish,Rodrik-Cassel,7,1
Petyr-Baelish,Sandor-Clegane,3,1
Petyr-Baelish,Sansa-Stark,8,1
Petyr-Baelish,Tomard,4,1
Petyr-Baelish,Tyrion-Lannister,11,1
Petyr-Baelish,Varys,29,1
Pycelle,Renly-Baratheon,7,1
Pycelle,Robert-Baratheon,26,1
Pycelle,Sansa-Stark,8,1
Pycelle,Stannis-Baratheon,3,1
Pycelle,Tywin-Lannister,4,1
Pycelle,Varys,17,1
Pypar,Rast,4,1
Pypar,Samwell-Tarly,11,1
Pypar,Todder,8,1
Qotho,Quaro,4,1
Quaro,Rakharo,6,1
Randyll-Tarly,Samwell-Tarly,5,1
Rast,Samwell-Tarly,3,1
Raymun-Darry,Robert-Baratheon,8,1
Renly-Baratheon,Robb-Stark,3,1
Renly-Baratheon,Robert-Baratheon,42,1
Renly-Baratheon,Sandor-Clegane,7,1
Renly-Baratheon,Sansa-Stark,5,1
Renly-Baratheon,Stannis-Baratheon,19,1
Renly-Baratheon,Tyrion-Lannister,4,1
Renly-Baratheon,Varys,9,1
Rhaegar-Targaryen,Robert-Baratheon,22,1
Rhaegar-Targaryen,Sansa-Stark,3,1
Rhaegar-Targaryen,Tywin-Lannister,4,1
Rhaegar-Targaryen,Viserys-Targaryen,5,1
Rickard-Karstark,Robb-Stark,9,1
Rickard-Karstark,Roose-Bolton,3,1
Rickon-Stark,Robb-Stark,20,1
Rickon-Stark,Sansa-Stark,8,1
Rickon-Stark,Tyrion-Lannister,4,1
Robb-Stark,Robert-Baratheon,6,1
Robb-Stark,Rodrik-Cassel,15,1
Robb-Stark,Roose-Bolton,6,1
Robb-Stark,Samwell-Tarly,4,1
Robb-Stark,Sansa-Stark,13,1
Robb-Stark,Stiv,3,1
Robb-Stark,Theon-Greyjoy,37,1
Robb-Stark,Torrhen-Karstark,3,1
Robb-Stark,Tyrion-Lannister,11,1
Robb-Stark,Tywin-Lannister,9,1
Robb-Stark,Walder-Frey,7,1
Robb-Stark,Wendel-Manderly,3,1
Robb-Stark,Yoren,3,1
Robert-Arryn,Tyrion-Lannister,9,1
Robert-Baratheon,Sandor-Clegane,9,1
Robert-Baratheon,Sansa-Stark,26,1
Robert-Baratheon,Stannis-Baratheon,21,1
Robert-Baratheon,Tommen-Baratheon,3,1
